"Sensor.ID","Latitude","Longitude","Buffer","TreeCanopy_pct","GrassShrubs_pct","BareSoil_pct","Water_pct","Buildings_pct","Roads_pct","OtherImp_pct","Railroads_pct","Building_mean","Building_median","BuildingAge_mean","BuildingAge_median","BuildingLow_pct","BuildingMedium_pct","BuildingTall_pct"
"Bx-MT_35",40.80718489,-73.91045732,250,17.0239,3.8711,0,0,18.2857,15.6223,45.197,0,29.1836009326667,31.76,1921,1910,6.66666666666667,90,3.33333333333333
"M-CH_01",40.809398,-73.949563,250,5.637,0.0746,0,0,61.3089,14.3283,18.6512,0,58.738222524,45.964488435,1936,1920,20,25,55
"M-CH_03",40.80551,-73.9521,250,15.6794,0.4952,0,0,38.6075,19.9113,25.3066,0,70.4386400505882,66.3440575,1922,1910,0,0,100
"M-CH_04",40.80701875,-73.95152243,250,19.9965,2.8,0,0,46.112,8.5887,22.5028,0,51.0818231046154,46.975,1920,1910,0,6.41025641025641,93.5897435897436
"M-CH_05",40.807207,-73.951976,250,20.2109,2.4944,0,0,42.1138,12.4719,22.709,0,53.3795876703947,46.975,1922,1910,3.94736842105263,7.89473684210526,88.1578947368421
"M-CH_06",40.80802,-73.9483,250,5.5866,0.3869,0,0,49.4983,22.3932,22.135,0,70.9805739855,61.19,1925,1910,15,5,80
"M-CH_07",40.80860062,-73.94722497,250,3.0257,0.4356,0,0,46.0311,17.8875,32.6201,0,70.026851755,48.765,1941,1910,18.1818181818182,27.2727272727273,54.5454545454545
"M-CH_08",40.80551,-73.9463,250,22.0905,2.7041,0,0,41.0984,14.0844,20.0226,0,56.497493027013,56.2,1888,1888,1.2987012987013,0,98.7012987012987
"M-CH_09",40.80757,-73.947,250,7.7457,1.075,0,0,58.761,11.9071,20.5112,0,67.8104928060417,51.08,1927,1910,20.8333333333333,12.5,66.6666666666667
"M-CH_10",40.80406,-73.9445,250,67.2027,15.7147,3.55,0,0.8261,0.33,12.3765,0,41.5514285714286,41.69,1920,1887,14.2857142857143,14.2857142857143,71.4285714285714
"M-CH_11",40.80336,-73.9506,250,21.4847,2.4088,0,0,41.8357,8.7663,25.5045,0,42.6985186423864,44.46,1948,1920,2.27272727272727,44.3181818181818,53.4090909090909
"M-CH_12",40.80975021,-73.94995082,250,4.541,0.0871,0,0,55.7358,14.5798,25.0563,0,50.14476877,45.494488435,1930,1917,16.6666666666667,29.1666666666667,54.1666666666667
"M-CH_13",40.80564,-73.9502,250,23.2008,3.1631,0,0,36.81,18.5357,18.2904,0,50.4183772630769,45.84,1896,1891,0,0,100
"M-CH_14",40.8025164,-73.95062325,250,7.9857,1.1785,0,0,46.8641,18.7817,25.19,0,50.5078853930769,54.705,1955,1940,3.84615384615385,38.4615384615385,57.6923076923077
"M-CH_15",40.80380817,-73.94975521,250,28.7543,3.7333,0,0,44.9839,4.3367,18.1918,0,44.9392000464423,44.92,1917,1899,0,17.3076923076923,82.6923076923077
"M-CH_16",40.80359,-73.9456,250,34.022,11.5509,1.0264,0,27.5406,9.1888,16.6713,0,47.404964525,45.18,1900,1896,0,12.0689655172414,87.9310344827586
"M-CH_17",40.80395907,-73.95232605,250,17.5805,1.3746,0,0,24.6203,34.1469,22.2777,0,78.4975912188889,70.48,1915,1910,11.1111111111111,0,88.8888888888889
"M-CH_19",40.80724,-73.9484,250,13.7515,2.6804,0,0,47.544,12.6736,23.3505,0,58.1584863485714,53.64,1901,1886,3.57142857142857,4.76190476190476,91.6666666666667
"M-CH_20",40.80288849,-73.94783592,250,13.5521,1.4888,0,0,43.5296,13.8025,27.627,0,46.1232106438462,42.89,1928,1909,5.12820512820513,20.5128205128205,74.3589743589744
"M-CH_21",40.80362,-73.9476,250,17.31,2.7617,0,0,40.7965,15.826,23.3058,0,46.5551443058025,45.14,1907,1896,1.23456790123457,7.40740740740741,91.358024691358
"M-CH_22",40.806857,-73.947485,250,15.6442,4.9364,0,0,46.4382,10.3701,22.6111,0,58.0383357286047,48.88,1908,1889,6.97674418604651,5.81395348837209,87.2093023255814
"M-CH_23",40.80780655,-73.94334609,250,19.076,3.7916,0,0,47.1813,9.0542,20.8969,0,50.9515035108046,45.01,1921,1909,2.29885057471264,5.74712643678161,91.9540229885057
"M-CH_25",40.80901,-73.9462,250,13.4159,1.8538,0,0,51.1863,10.9653,22.5787,0,53.6075869310345,44.53,1933,1910,1.72413793103448,13.7931034482759,84.4827586206897
"M-CH_26",40.80251,-73.9495,250,9.9283,1.1977,0,0,36.6999,28.1545,24.0196,0,50.605761797931,48,1972,1999,6.89655172413793,44.8275862068966,48.2758620689655
"M-CH_27",40.80476576,-73.9474961,250,17.6116,2.5761,0,0,35.2227,19.6435,24.9461,0,52.9970849352,52.19,1893,1889,1.33333333333333,1.33333333333333,97.3333333333333
"M-CH_28",40.80225,-73.9452,250,21.7983,4.2771,0,0,33.6249,20.2562,20.0435,0,60.2247958638462,41.55115325,1955,1928,2.56410256410256,48.7179487179487,48.7179487179487
"M-CH_29",40.80686,-73.946,250,12.9306,2.1043,0,0,39.836,21.4727,23.6564,0,58.9290502555556,55.455,1907,1897.5,7.40740740740741,0,92.5925925925926
"M-CH_30",40.80554,-73.9473,250,16.9052,1.0765,0,0,33.4782,20.9635,27.5766,0,56.8054993162963,56.41,1891,1888,1.85185185185185,1.85185185185185,96.2962962962963
"M-CH_31",40.80616,-73.9504,250,18.5767,2.4606,0,0,37.5325,22.5918,18.8384,0,54.9629437114545,48.01,1905,1910,1.81818181818182,0,98.1818181818182
"M-CH_32",40.80356079,-73.95205127,250,16.684,1.4565,0,0,26.0931,34.1107,21.6557,0,61.2187913792593,60.55,1936,1920,11.1111111111111,25.9259259259259,62.962962962963
